Scenario,Sector,Sub-Sector,Species,Units,Year,ems
BAU,off-road,TRA_OT_RAI,bc,kt,2011,45.85
BAU,off-road,TRA_OT_OTHER,bc,kt,2011,4.755248348278959
BAU,off-road,TRA_OT_CNS,ch4,kt,2011,7.064
BAU,off-road,TRA_OT_AGR,ch4,kt,2011,13.110000000000001
BAU,off-road,TRA_OT_RAI,ch4,kt,2011,4.851999999999999
BAU,off-road,TRA_OT_OTHER,ch4,kt,2011,8.802
BAU,off-road,TRA_OT_CNS,co2,Mt,2012,125.932
BAU,off-road,TRA_OT_AGR,co2,Mt,2012,225.28
BAU,off-road,TRA_OT_RAI,co2,Mt,2012,85.924
BAU,off-road,TRA_OT_OTHER,co2,Mt,2012,58.00470593619079
BAU,off-road,TRA_OT_CNS,bc,kt,2012,83.836
BAU,off-road,TRA_OT_AGR,bc,kt,2012,134.378
BAU,off-road,TRA_OT_RAI,bc,kt,2012,45.51
BAU,off-road,TRA_OT_OTHER,bc,kt,2012,4.758459184435799
BAU,off-road,TRA_OT_CNS,ch4,kt,2012,7.268
BAU,off-road,TRA_OT_AGR,ch4,kt,2012,13.09
BAU,off-road,TRA_OT_RAI,ch4,kt,2012,4.944
BAU,off-road,TRA_OT_OTHER,ch4,kt,2012,8.943999999999999
BAU,off-road,TRA_OT_CNS,co2,Mt,2013,129.188
BAU,off-road,TRA_OT_AGR,co2,Mt,2013,224.39000000000001
BAU,off-road,TRA_OT_RAI,co2,Mt,2013,87.416
BAU,off-road,TRA_OT_OTHER,co2,Mt,2013,59.50928992177426
BAU,off-road,TRA_OT_CNS,bc,kt,2013,83.444
BAU,off-road,TRA_OT_AGR,bc,kt,2013,131.192
BAU,off-road,TRA_OT_RAI,bc,kt,2013,45.17
BAU,off-road,TRA_OT_OTHER,bc,kt,2013,4.761670020592637
BAU,off-road,TRA_OT_CNS,ch4,kt,2013,7.4719999999999995
BAU,off-road,TRA_OT_AGR,ch4,kt,2013,13.07
BAU,off-road,TRA_OT_RAI,ch4,kt,2013,5.036
BAU,off-road,TRA_OT_OTHER,ch4,kt,2013,9.086
BAU,off-road,TRA_OT_CNS,co2,Mt,2014,132.444
BAU,off-road,TRA_OT_AGR,co2,Mt,2014,223.5
BAU,off-road,TRA_OT_RAI,co2,Mt,2014,88.908
BAU,off-road,TRA_OT_OTHER,co2,Mt,2014,61.01387390735775
BAU,off-road,TRA_OT_CNS,bc,kt,2014,83.05199999999999
BAU,off-road,TRA_OT_AGR,bc,kt,2014,128.006
BAU,off-road,TRA_OT_RAI,bc,kt,2014,44.83
BAU,off-road,TRA_OT_OTHER,bc,kt,2014,4.7648808567494765
BAU,off-road,TRA_OT_CNS,ch4,kt,2014,7.676
BAU,off-road,TRA_OT_AGR,ch4,kt,2014,13.049999999999999
BAU,off-road,TRA_OT_RAI,ch4,kt,2014,5.128
BAU,off-road,TRA_OT_OTHER,ch4,kt,2014,9.228
BAU,off-road,TRA_OT_CNS,co2,Mt,2015,135.7
BAU,off-road,TRA_OT_AGR,co2,Mt,2015,222.61
BAU,off-road,TRA_OT_RAI,co2,Mt,2015,90.4
BAU,off-road,TRA_OT_OTHER,co2,Mt,2015,62.51845789294123
BAU,off-road,TRA_OT_CNS,bc,kt,2015,82.66
BAU,off-road,TRA_OT_AGR,bc,kt,2015,124.82
BAU,off-road,TRA_OT_RAI,bc,kt,2015,44.49
BAU,off-road,TRA_OT_OTHER,bc,kt,2015,4.768091692906316
BAU,off-road,TRA_OT_CNS,ch4,kt,2015,7.88
BAU,off-road,TRA_OT_AGR,ch4,kt,2015,13.03
BAU,off-road,TRA_OT_RAI,ch4,kt,2015,5.22
BAU,off-road,TRA_OT_OTHER,ch4,kt,2015,9.37
BAU,off-road,TRA_OT_CNS,co2,Mt,2016,160.378
