Scenario,CY,RTK,MJ,Fuel (kg),CO2,CH4,N2O,nvPM_mass,nvPM_num,SO2,H2O,OC,Sulphates,NOx,CO,HC,ConERF,Stock,CO2e,EnRoute,Payload,TechEff,AvoidancePenalty,Formation,ConERFLowerBound,ConERFUpperBound,FuelEff,NOxERF,H2OERF,nvPM_massERF,SO2ERF
Current Commitments,1950,,,19418604651.162792,72.21132430232561,0.08379127906976745,0.00016758255813953169,0.0017332130063780803,1.7662861403700552e+16,0.023302325581395354,23.903606460901354,0.0003883720930232491,0.0004742476199203362,0.2983252377111456,0.0735597284319842,0.008859850139927445,0.0009058158731703427,,,,,,,,0.00015311462819746842,0.0025314578096841027,,0.001112234310162206,0.00012429875359668704,0.00017448255335208136,-0.0004639493023255815
Current Commitments,1951,,,20930232558.139538,77.8325651162791,0.09031395348837212,0.00018062790697674074,0.0018681337793296675,1.9037814686623348e+16,0.025116279069767447,25.7643662452829,0.00041860465116278346,0.0005111650993153325,0.3215481604072228,0.0792859348368692,0.00954953907297569,0.0009865252379103614,,,,,,,,0.0001667573394153341,0.0027570139715237855,,0.0011988154241269284,0.00013397470447547107,0.00018806502756511765,-0.0005000651162790699
Current Commitments,1952,,,22558139534.883717,83.88620906976745,0.09733837209302325,0.00019467674418604275,0.0020134330732775297,2.051853360669405e+16,0.027069767441860463,27.76826139769378,0.0004511627906976665,0.0005509223848176359,0.34655746177222896,0.08545261865751456,0.010292281000873796,0.0010744767890749404,,,,,,,,0.00018162423395188265,0.0030028096653993497,,0.001292056623781245,0.00014439495926800767,0.00020269230748684892,-0.0005389590697674418
Current Commitments,1953,,,24418604651.162792,90.80465930232562,0.10536627906976748,0.00021073255813953086,0.0021794894092179453,2.2210783801060572e+16,0.029302325581395353,30.05842728616338,0.0004883720930232474,0.0005963592825345544,0.37513952047509325,0.09250025730968074,0.011141128918471637,0.0011754998977369358,,,,,,,,0.00019870067981719492,0.0032851360685411963,,0.0013986179948147497,0.00015630382188804956,0.00021940919882597058,-0.0005834093023255816
Current Commitments,1954,,,26395348837.2093,98.15551267441863,0.11389593023255815,0.0002277918604651119,0.0023559242661546358,2.4008799632574996e+16,0.031674418604651165,32.491728542662315,0.0005279069767441768,0.0006446359863587803,0.4055079578468865,0.09998837337760726,0.01204302983091934,0.0012843593973822555,,,,,,,,0.00021710175039638208,0.003589362610267548,,0.0015118394515378484,0.00016895698842184405,0.0002371708958737872,-0.0006306376744186047
Current Commitments,1955,,,28488372093.023254,105.93876918604653,0.12292732558139537,0.00024585465116278596,0.0025427376440876025,2.5912581101237332e+16,0.03418604651162791,35.06816516719061,0.0005697674418604552,0.0006957524962903135,0.43766277388760877,0.10791696686129418,0.012997983738216909,0.0014013115216557476,,,,,,,,0.00023687075815550352,0.0039162053794443265,,0.0016317209939505414,0.00018235445886939113,0.00025597739863029897,-0.0006806441860465116
Current Commitments,1956,,,30813953488.372093,114.58683197674421,0.1329622093023256,0.0002659244186046461,0.002750308064013121,2.8027893844195484e+16,0.03697674418604652,37.930872527777595,0.0006162790697674312,0.0007525486184364617,0.4733903472661891,0.11672651517650187,0.014059043635214208,0.0015324064642783602,,,,,,,,0.0002590303978712176,0.004282572680064256,,0.0017649227077424223,0.00019724053714444348,0.0002768735128042009,-0.0007362069767441861
Current Commitments,1957,,,33255813953.48837,123.66729790697677,0.14349883720930234,0.0002869976744185991,0.0029682570049349155,3.0248972224301536e+16,0.03990697674418605,40.93671525639393,0.0006651162790697558,0.000812184546689917,0.5109042993136983,0.12597654090746993,0.01517315652706137,0.0016722698736622201,,,,,,,,0.00028267221577322387,0.004673444964885913,,0.0019047845072238969,0.00021287091933324843,0.00029881443268679796,-0.0007945479069767443
Current Commitments,1958,,,35930232558.139534,133.6125701162791,0.15503895348837213,0.00031007790697673825,0.0032069629878492623,3.2681581878703412e+16,0.04311627906976744,44.228828721068965,0.0007186046511627782,0.0008775000871579872,0.5519910086990657,0.13610752146995878,0.016393375408608264,0.0018271111331376745,,,,,,,,0.0003088458152612,0.005106175420567329,,0.00205796647808456,0.0002299899093495586,0.0003228449639867852,-0.0008584451162790698
Current Commitments,1959,,,38720930232.558136,143.9902454651163,0.16708081395348837,0.0003341616279069703,0.0034560474917598844,3.5219957170253188e+16,0.04646511627906977,47.66407755377335,0.0007744186046511493,0.0009456554337333649,0.594864096753362,0.146678979448208,0.01766664728500502,0.001991461945763822,,,,,,,,0.00033662686250773247,0.00556548195346593,,0.0022178085346348173,0.0002478532032796214,0.0003479203009954676,-0.0009251204651162791
