Scenario,CY,RTK,MJ,Fuel (kg),CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,EnRoute,Payload,TechEff,AvoidancePenalty,CO2e,FuelEff
GHG Forward,2040,2.03555E+12,1.58282E+13,3.66643E+11,854.8452675,451.5489233,0.007325043,0.259306513,0.008944131,5.974006801,1.46547535,0.164920517,1.059079231,0.002664001,0.0250027,2.44E+17,8.6892E+11,53284.09573,0.968862894,0.900087428,0.82442834,1,884.3794948,7.775890668
GHG Forward,2041,2.0975E+12,1.58841E+13,3.67884E+11,816.3018161,453.2750096,0.007349318,0.246937094,0.008973745,5.950196982,1.468603906,0.165373531,1.015382997,0.0027622,0.024503198,2.40E+17,8.74599E+11,54927.48359,0.966451584,0.895586991,0.809480287,1,844.6743141,7.572875294
GHG Forward,2042,2.16162E+12,1.59352E+13,3.69006E+11,777.2211539,454.8829233,0.007371145,0.234402397,0.009000376,5.917461467,1.471147694,0.16578732,0.971030727,0.002859976,0.024021074,2.36E+17,8.80818E+11,56637.79791,0.964044271,0.891109056,0.794414454,1,804.4139632,7.371898085
GHG Forward,2043,2.22801E+12,1.59761E+13,3.69882E+11,737.3874675,456.216268,0.007387983,0.2216395,0.009020923,5.872492609,1.472687386,0.1661115,0.925741674,0.002956195,0.023548598,2.32E+17,8.87612E+11,58419.28793,0.961640934,0.886653511,0.778949279,1,763.3746824,7.170575036
GHG Forward,2044,2.29677E+12,1.60114E+13,3.70621E+11,697.0861604,457.4090089,0.007402014,0.208736783,0.009038047,5.81567142,1.473533444,0.166380362,0.87986058,0.003051542,0.023092975,2.28E+17,8.95019E+11,60276.50343,0.959241556,0.882220243,0.763392006,1,721.8514392,6.971244576
GHG Forward,2045,2.36803E+12,1.60438E+13,3.71254E+11,656.4165568,458.6693762,0.007413395,0.195713638,0.009051938,5.748748537,1.474449823,0.166594505,0.833554894,0.003146279,0.022654963,2.25E+17,9.03086E+11,62214.30011,0.956846124,0.877809142,0.747861492,1,679.948184,6.775153514
GHG Forward,2046,2.44191E+12,1.60607E+13,3.71482E+11,614.9256779,459.6238178,0.00741619,0.182438267,0.009055344,5.663381476,1.474023153,0.166655371,0.78617132,0.003237491,0.022218101,2.21E+17,9.10641E+11,64237.91124,0.953660172,0.873420096,0.73230964,1,637.1933729,6.577110401
GHG Forward,2047,2.51829E+12,1.60758E+13,3.71585E+11,573.1294087,460.7769387,0.007415585,0.169075337,0.009054604,5.571250703,1.472946062,0.166646814,0.738380986,0.003327171,0.021798006,2.18E+17,9.18824E+11,66340.26481,0.950486099,0.869052996,0.716893987,1,594.121689,6.383592864
GHG Forward,2048,2.59731E+12,1.60931E+13,3.71664E+11,531.178316,462.2373326,0.007413599,0.15568557,0.009052181,5.474212083,1.471674185,0.166615334,0.690305346,0.003415727,0.021400989,2.14E+17,9.27679E+11,68526.28545,0.947323877,0.864707731,0.701786777,1,550.8871148,6.196077132
GHG Forward,2049,2.67908E+12,1.61179E+13,3.71838E+11,489.2090574,464.1406544,0.007412688,0.14232361,0.009051076,5.380151661,1.470721412,0.166615278,0.642058438,0.003503893,0.021033989,2.11E+17,9.37249E+11,70801.18973,0.944173497,0.860384192,0.68719298,1,507.6296098,6.016208256
GHG Forward,2050,2.76374E+12,1.6155E+13,3.72226E+11,447.300018,466.6170418,0.00741522,0.129024835,0.009054178,5.294737203,1.470566353,0.166697793,0.593690283,0.0035925,0.020702899,2.09E+17,9.47578E+11,73170.52085,0.941034965,0.856082271,0.673294412,1,464.4291461,5.84534456
SLCP Forward,2023,1.07688E+12,1.16658E+13,2.70355E+11,1005.358454,332.804441,0.005407091,0.324425431,0.006602149,4.130005796,1.087421016,0.121670021,1.16657978,0.00233316,0.023641291,2.46E+17,6.78563E+11,31609.24974,1,1,1,1,0,10.83296049
SLCP Forward,2024,1.19828E+12,1.24559E+13,2.88665E+11,1070.718456,355.0391012,0.005768365,0.3450636,0.007043387,4.432361131,1.16035492,0.130000817,1.242897657,0.002483703,0.027971569,2.62E+17,7.42346E+11,32587.61117,0.99500999,0.99003992,0.972346739,1,1105.203323,10.39477283
SLCP Forward,2025,1.29117E+12,1.32101E+13,3.06145E+11,1134.230169,376.5370675,0.006117664,0.365469201,0.007469975,4.729273019,1.231322102,0.13800764,1.316808838,0.002631751,0.029658886,2.78E+17,7.97553E+11,33593.31544,0.99401498,0.98805984,0.959299688,1,1170.765837,10.23115657
SLCP Forward,2026,1.33164E+12,1.34452E+13,3.11591E+11,1151.571696,383.2358159,0.006226501,0.370915394,0.007602874,4.843600297,1.252926561,0.140469749,1.337416362,0.002672151,0.030114183,2.82E+17,8.1669E+11,34658.46747,0.993020965,0.986083721,0.949640343,1,1188.678919,10.09668245
SLCP Forward,2027,1.37343E+12,1.37043E+13,3.17598E+11,1171.274991,390.6236012,0.006346531,0.374414445,0.007749436,4.967903097,1.276851082,0.143179668,1.360361288,0.002714771,0.030451488,2.85E+17,8.33061E+11,35760.98158,0.992027944,0.984111553,0.941425491,1,1209.017951,9.978196048
SLCP Forward,2028,1.41658E+12,1.39773E+13,3.23923E+11,1191.950687,398.4035608,0.006472934,0.378150165,0.00790378,5.098480825,1.302226705,0.14604323,1.384481612,0.002759561,0.030813273,2.89E+17,8.49787E+11,36902.26415,0.991035916,0.98214333,0.933777883,1,1230.361947,9.866955657
