Scenario,Sector,Species,Units,Year,ems,Source
BAU,Construction,co2,Mt,2032,145.97552571217796,WTT
BAU,Construction,co2,Mt,2033,147.60401003992465,WTT
BAU,Construction,co2,Mt,2034,149.23249436767128,WTT
BAU,Construction,co2,Mt,2035,150.86097869541794,WTT
BAU,Construction,co2,Mt,2036,152.36147916000832,WTT
BAU,Construction,co2,Mt,2037,153.86197962459872,WTT
BAU,Construction,co2,Mt,2038,155.3624800891891,WTT
BAU,Construction,co2,Mt,2039,156.86298055377952,WTT
BAU,Construction,co2,Mt,2040,158.3634810183699,WTT
BAU,Construction,co2,Mt,2041,158.11964969287396,WTT
BAU,Construction,co2,Mt,2042,157.87581836737803,WTT
BAU,Construction,co2,Mt,2043,157.6319870418821,WTT
BAU,Construction,co2,Mt,2044,157.38815571638617,WTT
BAU,Construction,co2,Mt,2045,157.1443243908902,WTT
BAU,Construction,co2,Mt,2046,156.56950031585225,WTT
BAU,Construction,co2,Mt,2047,155.9946762408143,WTT
BAU,Construction,co2,Mt,2048,155.41985216577638,WTT
BAU,Construction,co2,Mt,2049,154.84502809073842,WTT
BAU,Construction,co2,Mt,2050,154.27020401570047,WTT
Striving,Construction,co2,Mt,1990,67.30185907354,WTT
Striving,Construction,co2,Mt,1991,64.98380651758086,WTT
Striving,Construction,co2,Mt,1992,62.66575396162172,WTT
Striving,Construction,co2,Mt,1993,60.347701405662576,WTT
Striving,Construction,co2,Mt,1994,58.02964884970344,WTT
Striving,Construction,co2,Mt,1995,55.7115962937443,WTT
Striving,Construction,co2,Mt,1996,56.7156076340217,WTT
Striving,Construction,co2,Mt,1997,57.7196189742991,WTT
Striving,Construction,co2,Mt,1998,58.723630314576496,WTT
Striving,Construction,co2,Mt,1999,59.7276416548539,WTT
Striving,Construction,co2,Mt,2000,60.731652995131306,WTT
Striving,Construction,co2,Mt,2001,61.383708711729035,WTT
Striving,Construction,co2,Mt,2002,62.03576442832678,WTT
Striving,Construction,co2,Mt,2003,62.68782014492452,WTT
Striving,Construction,co2,Mt,2004,63.33987586152226,WTT
Striving,Construction,co2,Mt,2005,63.991931578119996,WTT
Striving,Construction,co2,Mt,2006,64.36926331259788,WTT
Striving,Construction,co2,Mt,2007,64.74659504707576,WTT
Striving,Construction,co2,Mt,2008,65.12392678155364,WTT
Striving,Construction,co2,Mt,2009,65.50125851603153,WTT
Striving,Construction,co2,Mt,2010,65.87859025050939,WTT
Striving,Construction,co2,Mt,2011,67.67477757135732,WTT
Striving,Construction,co2,Mt,2012,69.47096489220525,WTT
Striving,Construction,co2,Mt,2013,71.26715221305315,WTT
Striving,Construction,co2,Mt,2014,73.06333953390106,WTT
Striving,Construction,co2,Mt,2015,74.85952685474898,WTT
Striving,Construction,co2,Mt,2016,88.47325864341146,WTT
Striving,Construction,co2,Mt,2017,102.0869904320739,WTT
Striving,Construction,co2,Mt,2018,115.7007222207364,WTT
Striving,Construction,co2,Mt,2019,129.31445400939882,WTT
Striving,Construction,co2,Mt,2020,142.92818579806126,WTT
Striving,Construction,co2,Mt,2021,139.73317898528228,WTT
Striving,Construction,co2,Mt,2022,136.5043962012611,WTT
Striving,Construction,co2,Mt,2023,133.2418374459978,WTT
Striving,Construction,co2,Mt,2024,129.94550271949228,WTT
Striving,Construction,co2,Mt,2025,126.61539202174468,WTT
Striving,Construction,co2,Mt,2026,122.15234463007585,WTT
